club,coach,coach_full,coach_id,start_date,end_date,n_partidos,n_en_rango,n_absorbidos,torneos,analizable,banderas
"Pachuca","Guillermo Almada","Jorge Guillermo Almada Álves","2947","2022-01-07","2025-04-21","119","119","0","A2022|A2023|A2024|C2022|C2023|C2024|C2025","1","MULTI_MANAGER(1)"
"Pachuca","Jaime Lozano","Jaime Arturo Lozano Espín","1000115","2025-07-13","2025-11-09","17","17","0","A2025","0","CORTA"
"Pachuca","Esteban Andres Solari Poggio","Esteban Andrés Solari Poggio","1004576","2026-01-10","2026-04-25","17","17","0","C2026","0","CORTA"
"Puebla","Nicolas Larcamon","Nicolás Ricardo Larcamón","3629","2021-07-26","2022-10-01","51","51","0","A2021|A2022|C2022","1","PRIMERA_DE_VENTANA"
"Puebla","Eduardo Arce Pena","Eduardo Arce Peña","1002591","2023-01-10","2023-08-23","22","22","0","A2023|C2023","0","CORTA"
"Puebla","Ricardo Carbajal","Ricardo Carbajal","1003560","2023-08-26","2024-02-24","20","20","0","A2023|C2024","0","CORTA"
"Puebla","Fernando Luis Aristeguieta de Luca","Fernando Luis Aristeguieta de Luca","1004476","2024-03-02","2024-03-09","2","2","0","C2024","0","CORTA"
"Puebla","Andres Jose Carevic Ghelfi","Andrés José Carevic Ghelfi","5950","2024-03-17","2024-04-27","7","7","0","C2024","0","CORTA"
"Puebla","Jose Manuel de la Torre Menchaca","José Manuel de la Torre Menchaca","4028","2024-07-05","2024-11-11","17","17","0","A2024","0","CORTA"
"Puebla","Pablo Adrian Guede Barriero","Pablo Adrián Guede Barriero","2945","2025-01-13","2025-08-16","22","22","0","A2025|C2025","0","CORTA"
"Puebla","Hernan Cristante","Rolando Hernán Cristante Mandarino","5543","2025-08-24","2025-11-09","12","12","0","A2025","0","CORTA"
"Puebla","Albert Espigares","Albert Espigares","1008680","2026-01-10","2026-04-25","17","17","0","C2026","0","CORTA"
"Pumas UNAM","Andres Lillini","Andrés Luciano Lillini","4870","2021-07-25","2022-10-01","51","51","0","A2021|A2022|C2022","1","PRIMERA_DE_VENTANA"
"Pumas UNAM","Rafael Puente del Rio","Rafael Puente del Río","3228","2023-01-08","2023-03-19","12","12","0","C2023","0","CORTA"
"Pumas UNAM","Raul Alpizar I","Raúl Alpízar","1001899","2023-04-03","2023-04-03","1","1","0","C2023","0","CORTA;NO_CONTIGUA"
"Pumas UNAM","Antonio Mohamed","Antonio Ricardo Mohamed Matijevich","560","2023-04-09","2023-11-12","21","21","0","A2023|C2023","0","CORTA"
"Pumas UNAM","Gustavo Lema","Gustavo Alberto Lema","794","2024-01-14","2025-02-26","43","43","0","A2024|C2024|C2025","1","MULTI_MANAGER(1)"
"Pumas UNAM","Raul Alpizar II","Raúl Alpízar","1001899","2025-03-02","2025-03-02","1","1","0","C2025","0","CORTA;NO_CONTIGUA"
"Pumas UNAM","Efrain Valdez","Efraín Juárez Váldez","1005267","2025-03-08","2026-04-25","41","41","0","A2025|C2025|C2026","1",""
"Querétaro","Hector Altamirano Escudero","Héctor Altamirano Escudero","5339","2021-07-23","2021-08-28","7","7","0","A2021","0","PRIMERA_DE_VENTANA;CORTA"
"Querétaro","Leonardo Alfredo Ramos Giro","Leonardo Alfredo Ramos Giró","4940","2021-09-13","2022-02-06","14","14","0","A2021|C2022","0","CORTA"
"Querétaro","Hernan Cristante","Rolando Hernán Cristante Mandarino","5543","2022-02-15","2022-04-30","13","13","0","C2022","0","CORTA"
"Querétaro","Mauro Gerk","Mauro Néstor Gerk Larrea","1001792","2022-07-05","2024-11-09","85","85","0","A2022|A2023|A2024|C2023|C2024","1",""
"Querétaro","Benjamin Mora","Benjamín Mora Mendívil","1002630","2025-01-11","2025-11-08","34","34","0","A2025|C2025","1",""
"Querétaro","Esteban Gonzalez","Esteban Eduardo González Herrera","1004862","2026-01-11","2026-04-25","17","17","0","C2026","0","CORTA"
"Santos Laguna","Guillermo Almada","Jorge Guillermo Almada Álves","2947","2021-07-24","2021-11-08","17","17","0","A2021","0","PRIMERA_DE_VENTANA;CORTA"
"Santos Laguna","Pedro Caixinha","Pedro Miguel Faria Caixinha","4113","2022-01-13","2022-03-06","9","9","0","C2022","0","CORTA"
"Santos Laguna","Eduardo Fentanes","Eduardo Fentanes Orozco","1001172","2022-03-14","2023-04-24","41","41","0","A2022|C2022|C2023","1",""
"Santos Laguna","Pablo Eduardo Repetto Aquino","Pablo Eduardo Repetto Aquino","2999","2023-04-30","2024-02-11","24","24","0","A2023|C2023|C2024","0","CORTA"
"Santos Laguna","Ignacio Ambriz","Marcos Ignacio Ambriz Espinoza","2944","2024-02-19","2024-11-09","28","28","0","A2024|C2024","1",""
"Santos Laguna","Fernando Ortiz","Fernando Ortiz","1001173","2025-01-12","2025-04-20","17","17","0","C2025","0","CORTA"
"Santos Laguna","Francisco","Francisco Javier Rodríguez Vílchez","673","2025-07-13","2026-02-15","23","23","0","A2025|C2026","0","CORTA"
"Santos Laguna","Roberto Jaramillo","Roberto Omar Tapia Jaramillo","1009019","2026-02-22","2026-04-26","11","11","0","C2026","0","CORTA"
"Tigres UANL","Miguel Herrera","Miguel Ernesto Herrera Aguirre","3012","2021-07-26","2022-10-01","51","51","0","A2021|A2022|C2022","1","PRIMERA_DE_VENTANA"
"Tigres UANL","Diego Cocca","Diego Martín Cocca Pera","2819","2023-01-09","2023-02-05","5","5","0","C2023","0","CORTA"
"Tigres UANL","Mario Dominguez Sosa","Mario Domínguez Sosa","1002749","2023-02-12","2023-02-12","1","1","0","C2023","0","CORTA"
"Tigres UANL","Marco Antonio Ruiz Garcia","Marco Antonio Ruiz García","1002754","2023-02-15","2023-04-09","8","8","0","C2023","0","CORTA"
"Tigres UANL","Robert Siboldi","Robert Dante Siboldi Badiola","3109","2023-04-16","2024-04-28","36","37","1","A2023|C2023|C2024","1","FUSIONADA(1)"
"Tigres UANL","Veljko Paunovic","Veljko Paunovic","156","2024-07-07","2025-03-02","27","27","0","A2024|C2025","1",""
"Tigres UANL","Guido Pizarro","Guido Hernán Pizarro Demestri","1006558","2025-03-08","2026-04-25","40","41","1","A2025|C2025|C2026","1","FUSIONADA(1)"
"Tijuana","Robert Siboldi","Robert Dante Siboldi Badiola","3109","2021-07-26","2021-10-04","12","12","0","A2021","0","PRIMERA_DE_VENTANA;CORTA"
"Tijuana","Sebastian Ariel Mendez Pardinas","Sebastián Ariel Méndez Pardiñas","3867","2021-10-15","2022-05-01","22","22","0","A2021|C2022","0","CORTA"
"Tijuana","Ricardo Alfredo Valino","Ricardo Alfredo Valiño","1001785","2022-07-03","2023-02-04","22","22","0","A2022|C2023","0","CORTA"
"Tijuana","Cirilo Saucedo Najera I","Cirilo Saucedo Nájera","1002736","2023-02-11","2023-02-11","1","1","0","C2023","0","CORTA;NO_CONTIGUA"
"Tijuana","Miguel Herrera","Miguel Ernesto Herrera Aguirre","3012","2023-02-16","2024-04-28","45","45","0","A2023|C2023|C2024","1",""
"Tijuana","Juan Carlos Osorio","Juan Carlos Osorio Arbeláez","632","2024-07-06","2025-03-10","28","28","0","A2024|C2025","1",""
"Tijuana","Cirilo Saucedo Najera II","Cirilo Saucedo Nájera","1002736","2025-03-17","2025-04-20","6","6","0","C2025","0","CORTA;NO_CONTIGUA"
"Tijuana","Sebastian Abreu","Washington Sebastián Abreu Gallo","4615","2025-07-12","2026-04-26","34","34","0","A2025|C2026","1",""
"Toluca","Hernan Cristante","Rolando Hernán Cristante Mandarino","5543","2021-07-24","2021-11-06","17","17","0","A2021","0","PRIMERA_DE_VENTANA;CORTA"
"Toluca","Ignacio Ambriz","Marcos Ignacio Ambriz Espinoza","2944","2022-01-11","2023-10-21","64","64","0","A2022|A2023|C2022|C2023","1",""
"Toluca","Carlos Maria Morales Maeso","Carlos María Morales Maeso","1003934","2023-10-29","2023-11-11","4","4","0","A2023","0","CORTA"
"Toluca","Renato Paiva","Renato Manuel Alves Paiva","5876","2024-01-13","2024-11-10","34","34","0","A2024|C2024","1",""
"Toluca","Antonio Mohamed","Antonio Ricardo Mohamed Matijevich","560","2025-01-11","2026-04-26","51","51","0","A2025|C2025|C2026","1",""
